Image,DateAcquired,ExposureCh1,PowerCh1,ExposureCh2,PowerCh2,ExposureCh3,PowerCh3,DAPI,FITC,TxRedCy5,Experiment,Replicate,Coverslip,Condition,Normalization
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_006.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_007.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S1_008.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov1,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001_1.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001_2.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001_3.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001_4.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001_5.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001_6.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001_7.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220907_KKGKclone4_MCAM488-100_MSN594-100_Ph405-150_60X_S2_002.nd2,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_KKGK4_StainMCAM-MSN-Factin_RepP,20220907_KKGK4_StainMCAM-MSN-Factin_RepP_Cov2,KKGK4_StainMCAM-MSN-Factin,
20220915_EricR23_MCAM488-100_EZR594-100_Ph405-150_60X_S2_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-EZR-Factin_Rep1,20220911_Naive_StainMCAM-EZR-Factin_Rep1_Cov2,Naive_StainMCAM-EZR-Factin,Control
20220915_EricR23_MCAM488-100_EZR594-100_Ph405-150_60X_S2_002.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-EZR-Factin_Rep1,20220911_Naive_StainMCAM-EZR-Factin_Rep1_Cov2,Naive_StainMCAM-EZR-Factin,Control
20220915_EricR23_MCAM488-100_EZR594-100_Ph405-150_60X_S2_003.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-EZR-Factin_Rep1,20220911_Naive_StainMCAM-EZR-Factin_Rep1_Cov2,Naive_StainMCAM-EZR-Factin,Control
20220915_EricR23_MCAM488-100_EZR594-100_Ph405-150_60X_S2_004.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-EZR-Factin_Rep1,20220911_Naive_StainMCAM-EZR-Factin_Rep1_Cov2,Naive_StainMCAM-EZR-Factin,Control
20220915_EricR23_MCAM488-100_EZR594-100_Ph405-150_60X_S2_005.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-EZR-Factin_Rep1,20220911_Naive_StainMCAM-EZR-Factin_Rep1_Cov2,Naive_StainMCAM-EZR-Factin,Control
20220915_EricR23_MCAM488-100_EZR594-100_Ph405-150_60X_S2_006.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-EZR-Factin_Rep1,20220911_Naive_StainMCAM-EZR-Factin_Rep1_Cov2,Naive_StainMCAM-EZR-Factin,Control
20220915_EricR23_MCAM488-100_EZR594-100_Ph405-150_60X_S2_007.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-EZR-Factin_Rep1,20220911_Naive_StainMCAM-EZR-Factin_Rep1_Cov2,Naive_StainMCAM-EZR-Factin,Control
20220915_EricR23_MCAM488-100_EZR594-100_Ph405-150_60X_S2_008.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-EZR-Factin_Rep1,20220911_Naive_StainMCAM-EZR-Factin_Rep1_Cov2,Naive_StainMCAM-EZR-Factin,Control
20220915_EricR23_MCAM488-100_EZR594-100_Ph405-150_60X_S2_009.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-EZR-Factin_Rep1,20220911_Naive_StainMCAM-EZR-Factin_Rep1_Cov2,Naive_StainMCAM-EZR-Factin,Control
20220915_EricR23_MCAM488-100_EZR594-100_Ph405-150_60X_S2_010.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-EZR-Factin_Rep1,20220911_Naive_StainMCAM-EZR-Factin_Rep1_Cov2,Naive_StainMCAM-EZR-Factin,Control
20220915_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001.nd2,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_Naive_StainMCAM-MSN-Factin_Rep1,20220911_Naive_StainMCAM-MSN-Factin_Rep1_Cov1,Naive_StainMCAM-MSN-Factin,Control
